repository,T_total_hours,T_downtime_hours,availability,N_releases,N_bugs,N_total_builds,N_failed_builds,bug_error_rate,build_error_rate,N_failures,mtbf_hours
tangalbert919/nds4droid,506.17,506.17,0.0,2,1,0,0,0.5,0.0,1,506.17
diegoponciano/biblia-ccb,4026.67,3858.95,4.1651,3,4,0,0,1.333333,0.0,4,1006.67
DarkMentat/GuitarScalesBoxes,1274.44,0.0,100.0,2,0,0,0,0.0,0.0,0,
cornedor/mayhem,2725.87,2697.96,1.024,2,8,0,0,4.0,0.0,8,340.73
pmarks-net/chromadoze,27578.67,0.0,100.0,7,0,0,0,0.0,0.0,0,
KentShikama/SoundLocker,961.8,0.0,100.0,5,0,0,0,0.0,0.0,0,
media3-0/AplikacjaParlament,5207.35,0.0,100.0,7,0,0,0,0.0,0.0,0,
FabriceMk/android-mycv,6098.52,368.61,93.9557,3,2,0,0,0.666667,0.0,2,3049.26
baz8080/folkets_android,5746.56,0.0,100.0,3,0,0,0,0.0,0.0,0,
flopshot/Capstone_Project,1919.47,871.38,54.603,4,10,0,0,2.5,0.0,10,191.95
LudySu/LrcJaeger,23705.58,0.0,100.0,6,0,0,0,0.0,0.0,0,
anwilli5/coin-collection-android-US,352.69,352.69,0.0,2,10,1991,55,5.0,0.027624,65,5.43
nning/imgshr-android,23973.02,0.0,100.0,2,0,0,0,0.0,0.0,0,
oyegorov/memorazor,835.03,0.0,100.0,4,0,0,0,0.0,0.0,0,
toastkidjp/SearchWidget_Android,8932.87,0.0,100.0,11,0,0,0,0.0,0.0,0,
MariusVolkhart/LocalStorage,38528.25,0.0,100.0,5,0,0,0,0.0,0.0,0,
gerald1248/hollows,1290.02,0.0,100.0,7,0,0,0,0.0,0.0,0,
kyriog/VoxPopuli-Android,15696.23,3646.91,76.7657,4,5,0,0,1.25,0.0,5,3139.25
SimenCodes/heads-up,30405.13,10489.49,65.5009,4,21,0,0,5.25,0.0,21,1447.86
MPieter/Notification-Analyser,320.62,320.62,0.0,4,1,0,0,0.25,0.0,1,320.62
gsantner/kimai-android,21580.81,0.0,100.0,7,0,0,0,0.0,0.0,0,
SebastianOltmanns/birthdays,32771.44,0.0,100.0,13,0,0,0,0.0,0.0,0,
curlymorphic/involve,3607.16,0.0,100.0,2,0,0,0,0.0,0.0,0,
heinrichreimer/material-drawer,13114.82,13114.82,0.0,5,21,0,0,4.2,0.0,21,624.52
wseemann/RoMote,54962.49,0.0,100.0,25,0,0,0,0.0,0.0,0,
mattstraehl/AmgiNori,38704.11,105.79,99.7267,9,1,0,0,0.111111,0.0,1,38704.11
SvenDub/Dashboard,881.31,881.31,0.0,4,3,0,0,0.75,0.0,3,293.77
andremion/Villains-and-Heroes,4787.81,0.0,100.0,5,0,0,0,0.0,0.0,0,
longdivision/hex,17774.96,1181.19,93.3547,9,6,0,0,0.666667,0.0,6,2962.49
Lightstreamer/Lightstreamer-example-AdvStockList-client-android,7278.06,0.0,100.0,2,0,27,0,0.0,0.0,0,
edsonduarte1990/reminders,17035.55,0.0,100.0,11,0,0,0,0.0,0.0,0,
dzwiedziu-nkg/biblospk,102.16,0.0,100.0,3,0,0,0,0.0,0.0,0,
ronaldsmartin/Material-ViewPagerIndicator,5434.11,5329.87,1.9182,6,5,0,0,0.833333,0.0,5,1086.82
RyuzakiKK/NoteCrypt,15115.84,0.0,100.0,4,1,0,0,0.25,0.0,1,15115.84
BeamNG/remotecontrol,196.51,196.51,0.0,3,6,0,0,2.0,0.0,6,32.75
mtransitapps/ca-niagara-region-transit-bus-android,46.09,0.0,100.0,2,0,131,8,0.0,0.061069,8,5.76
butzist/ActivityLauncher,27785.77,847.89,96.9485,11,6,98,13,0.545455,0.132653,19,1462.41
tcolligan/MaximMaker,16290.19,0.0,100.0,4,0,0,0,0.0,0.0,0,
shivnshu/AMR-System,766.5,0.0,100.0,3,0,0,0,0.0,0.0,0,
flyingrub/SpeedMeter,22169.38,0.0,100.0,4,2,0,0,0.5,0.0,2,11084.69
wmi-students/wmi-timetable-android,4339.88,883.9,79.6331,3,8,0,0,2.666667,0.0,8,542.49
erickok/borefts2015,26973.26,0.0,100.0,9,0,0,0,0.0,0.0,0,
ccjeng/BuddhaVoice,15030.81,0.0,100.0,14,0,0,0,0.0,0.0,0,
42SK/TVKILL,20787.48,24.02,99.8844,10,2,0,0,0.2,0.0,2,10393.74
mutualmobile/CardStackUI,1615.47,609.02,62.3008,2,3,0,0,1.5,0.0,3,538.49
elefher/CpuHandler,4796.14,0.0,100.0,5,0,0,0,0.0,0.0,0,
fin10/MyWallpaper,22912.32,0.0,100.0,7,0,0,0,0.0,0.0,0,
rpi-mobile/RPIMobile-Android,15842.67,0.0,100.0,7,0,0,0,0.0,0.0,0,
Bennik2000/FtApp,4438.85,0.0,100.0,7,0,0,0,0.0,0.0,0,
greenfrvr/hashtag-view,16864.02,9486.41,43.7476,7,4,0,0,0.571429,0.0,4,4216.0
fadelakin/vortex,2143.19,67.46,96.8522,7,2,0,0,0.285714,0.0,2,1071.59
hgzojer/vocabletrainer,37750.93,0.0,100.0,14,0,0,0,0.0,0.0,0,
indywidualny/Centrum.fm,5685.08,0.1,99.9983,17,1,0,0,0.058824,0.0,1,5685.08
jsauve/HGMF2017,60.19,0.0,100.0,5,0,0,0,0.0,0.0,0,
shubhamchaudhary/wordpowermadeeasy,13031.87,6741.69,48.2677,3,2,0,0,0.666667,0.0,2,6515.94
pryds/ve,1201.57,83.78,93.0272,4,4,0,0,1.0,0.0,4,300.39
mtransitapps/ca-joliette-ctjm-bus-android,195.57,0.0,100.0,2,0,0,0,0.0,0.0,0,
matejdro/WearVibrationCenter,52005.55,0.0,100.0,15,0,0,0,0.0,0.0,0,
outadoc/SplatCompanion,4313.85,23.22,99.4617,12,1,0,0,0.083333,0.0,1,4313.85
artemnikitin/tts-test-app,7425.01,0.0,100.0,5,2,0,0,0.4,0.0,2,3712.51
mtransitapps/ca-fraser-valley-express-bus-android,46.38,0.0,100.0,2,0,132,6,0.0,0.045455,6,7.73
chrisjluc/Onesearch,218.02,0.0,100.0,5,1,0,0,0.2,0.0,1,218.02
plusCubed/anticipate,2088.53,370.57,82.2568,7,2,0,0,0.285714,0.0,2,1044.27
dbrant/cardboard-mpo,17.49,0.0,100.0,2,0,0,0,0.0,0.0,0,
ccjeng/TPTrashCan,7458.49,0.0,100.0,12,0,0,0,0.0,0.0,0,
aliaksei135/FlightDutyTracker,358.05,0.0,100.0,2,0,0,0,0.0,0.0,0,
adriankeenan/uob-timetable-android,17095.97,0.0,100.0,11,0,0,0,0.0,0.0,0,
Devlight/NavigationTabBar,3296.36,921.01,72.0598,13,9,0,0,0.692308,0.0,9,366.26
TrekDev/Xamarin.Android.Skobbler,5478.21,31.2,99.4305,3,2,0,0,0.666667,0.0,2,2739.1
XFY9326/KeyBlocker,4708.34,0.0,100.0,37,0,0,0,0.0,0.0,0,
martinmarinov/rtl_tcp_andro-,386.35,0.0,100.0,2,0,0,0,0.0,0.0,0,
kloener/visor-android,10450.28,10450.28,0.0,2,4,0,0,2.0,0.0,4,2612.57
iammck/ECalculon,283.72,0.0,100.0,2,0,0,0,0.0,0.0,0,
ZedTheLed/Emoji_Browser,143.78,0.0,100.0,2,0,0,0,0.0,0.0,0,
SumiMakito/AwesomeQRCode,12332.27,0.0,100.0,8,0,0,0,0.0,0.0,0,
ItsSelina/tribbble,189.66,0.0,100.0,2,0,0,0,0.0,0.0,0,
xtensa/PodEmu,10722.22,5579.92,47.9593,6,6,0,0,1.0,0.0,6,1787.04
MJonesDev/Simple-Reminder-Android,196.68,196.68,0.0,2,1,0,0,0.5,0.0,1,196.68
sreich/android-count-the-days,1.01,1.01,0.0,2,2,0,0,1.0,0.0,2,0.51
CyberZHG/CrimsonTomato,10019.76,0.0,100.0,6,0,0,0,0.0,0.0,0,
MkhytarMkhoian/Shoppist,1121.26,0.0,100.0,2,0,0,0,0.0,0.0,0,
trikita/talalarmo,810.13,0.0,100.0,4,0,0,0,0.0,0.0,0,
andriydruk/BonjourBrowser,37280.11,0.0,100.0,4,0,0,0,0.0,0.0,0,
GoneUp/Htwg_LsfPlan,573.75,0.0,100.0,4,0,0,0,0.0,0.0,0,
weinshel/android-calculator,1439.7,0.0,100.0,2,0,0,0,0.0,0.0,0,
randombyte-developer/SGLVertretungsplan,1753.69,1030.42,41.2427,4,2,0,0,0.5,0.0,2,876.85
yaa110/Memento,602.33,0.0,100.0,3,0,0,0,0.0,0.0,0,
chdir/aria2-android,22125.7,22125.7,0.0,4,5,0,0,1.25,0.0,5,4425.14
tobykurien/BatteryFu,40505.76,1227.98,96.9684,7,3,0,0,0.428571,0.0,3,13501.92
SpiritCroc/SyncSettings,33819.72,0.0,100.0,9,0,0,0,0.0,0.0,0,
leinardi/UbuntuCountdownWidget,13968.52,2.14,99.9847,5,2,13,3,0.4,0.230769,5,2793.7
robertmathew/KeralaAttractions,1478.22,0.0,100.0,3,0,0,0,0.0,0.0,0,
sean22922/CardSimulator,3530.44,0.0,100.0,9,0,0,0,0.0,0.0,0,
indianpoptart/Parks-and-Recreation,11674.94,2240.77,80.807,15,1,0,0,0.066667,0.0,1,11674.94
Vilbrekin/tinc_gui,14400.6,1385.87,90.3763,3,3,0,0,1.0,0.0,3,4800.2
mustafa01ali/Dev-Tiles,3243.21,0.0,100.0,3,0,0,0,0.0,0.0,0,
wbrenna/GTFSOffline,67326.06,15359.86,77.1859,2,7,0,0,3.5,0.0,7,9618.01
MicMun/DeuFeiTage,44893.68,0.0,100.0,12,0,0,0,0.0,0.0,0,
mtransitapps/ca-lethbridge-transit-bus-android,195.45,0.0,100.0,2,0,133,4,0.0,0.030075,4,48.86
