repository,total_releases,failed_releases,change_failure_rate_percent,cfr_level
24HeuresINSA/24h-android-app,1,0,0.0,Elite
jawg/osm-contributor,19,1,5.26,Elite
markusfisch/ShaderEditor,22,0,0.0,Elite
nguillaumin/osmtracker-android,5,2,40.0,Medium
ibaton/3House,13,0,0.0,Elite
premnirmal/StockTicker,76,0,0.0,Elite
sky-map-team/stardroid,25,4,16.0,High
DylanVann/react-native-fast-image,79,29,36.71,Medium
SimpleMobileTools/Simple-Flashlight,61,7,11.48,Elite
konradrenner/kolabnotes-android,113,48,42.48,Medium
RayBa82/DVBViewerController,21,0,0.0,Elite
ultramega/elementary,28,0,0.0,Elite
y20k/trackbook,48,0,0.0,Elite
YaleSTC/YalePublic-android,6,3,50.0,Low
rei-m/android_hyakuninisshu,27,0,0.0,Elite
InstaList/instalist-android,1,0,0.0,Elite
OpenSageTV/sagetv-miniclient,18,2,11.11,Elite
tomatrocho/insapp-android,17,0,0.0,Elite
franciscojunior/Vampidroid,15,1,6.67,Elite
uruba/TruckApp,18,0,0.0,Elite
mtransitapps/ca-vancouver-translink-bus-android,1,0,0.0,Elite
mtransitapps/ca-gatineau-sto-bus-android,1,0,0.0,Elite
neurodroid/cryptonite,8,1,12.5,Elite
MKergall/osmbonuspack,24,0,0.0,Elite
nightscout/android-uploader,9,0,0.0,Elite
ken-kentan/student-portal-plus,2,1,50.0,Low
hbb20/CountryCodePickerProject,1,0,0.0,Elite
michaelkourlas/voipms-sms-client,36,11,30.56,Medium
mobfox/MobFox-Android-SDK,122,15,12.3,Elite
zond/android-diplicity,237,21,8.86,Elite
sjwall/MaterialTapTargetPrompt,62,11,17.74,High
nextgis/ngm_clink_monitoring,2,0,0.0,Elite
ligi/FAST,6,0,0.0,Elite
btimofeev/UniPatcher,15,0,0.0,Elite
LISPmob/lispmob,6,0,0.0,Elite
chaosbastler/opentraining,1,0,0.0,Elite
blabbertabber/blabbertabber,5,0,0.0,Elite
erdemolkun/instant-rates,4,0,0.0,Elite
mtransitapps/ca-gtha-go-transit-bus-android,2,0,0.0,Elite
dkrivoruchko/ScreenStream,124,3,2.42,Elite
tkrajina/10000sentences,6,0,0.0,Elite
corenting/EDCompanion,63,0,0.0,Elite
Kaljurand/K6nele,25,0,0.0,Elite
luoyuan800/NeverEnd,2,2,100.0,Low
j4velin/Pedometer,3,0,0.0,Elite
philliphsu/ClockPlus,5,0,0.0,Elite
mtransitapps/ca-windsor-transit-bus-android,1,0,0.0,Elite
TruckMuncher/TruckMuncher-Android,2,0,0.0,Elite
fenimore/DemocracyDroid,16,0,0.0,Elite
mtransitapps/ca-ottawa-oc-transpo-bus-android,1,0,0.0,Elite
EmmanuelMess/Simple-Accounting,20,1,5.0,Elite
AdguardTeam/ContentBlocker,38,16,42.11,Medium
rsteckler/unbounce-android,10,6,60.0,Low
henryco/OPalette,1,0,0.0,Elite
plusCubed/plusTimer,21,5,23.81,High
melange-app/melange,2,0,0.0,Elite
mtransitapps/ca-edmonton-ets-bus-android,1,0,0.0,Elite
wench/Ao3-Tracker,18,0,0.0,Elite
1fish2/BBQTimer,7,0,0.0,Elite
murgo/IrssiNotifier,3,0,0.0,Elite
UpperSetting/DotNetOpenServerSDK,2,0,0.0,Elite
Calsign/APDE,19,5,26.32,High
StephaneBg/ScoreIt,16,0,0.0,Elite
kwmt/GitHubSearch,5,1,20.0,High
vycius/NMAkademija,3,0,0.0,Elite
javaBin/appZone,1,0,0.0,Elite
st1hy/Red-Calorie,11,3,27.27,High
ligi/SurvivalManual,1,0,0.0,Elite
indianpoptart/RadioControl,88,22,25.0,High
kiwiandroiddev/starcraft-2-build-player,3,1,33.33,Medium
sandy-8925/Checklist,1,0,0.0,Elite
glodanif/BluetoothChat,36,0,0.0,Elite
ObjectiveTruth/UoitDCLibraryBooking,14,3,21.43,High
bitcraze/crazyflie-android-client,16,1,6.25,Elite
by-syk/NanoIconPack,7,0,0.0,Elite
dinosaurwithakatana/hacker-news-android,13,0,0.0,Elite
caarmen/nounours-android,21,0,0.0,Elite
alexvasilkov/GestureViews,16,0,0.0,Elite
physphil/UnitConverterUltimate,20,1,5.0,Elite
tfg13/LanXchange,1,0,0.0,Elite
Power-Switch/PowerSwitch_Android,2,0,0.0,Elite
mtransitapps/ca-edmonton-ets-train-android,1,0,0.0,Elite
ubx/SkyLinesTracker,1,0,0.0,Elite
alashow/datmusic-android,28,0,0.0,Elite
Webtrekk/webtrekk-android-sdk,9,0,0.0,Elite
Digitopia/Gamult,9,3,33.33,Medium
mpiannucci/HackWinds-Android,54,11,20.37,High
kollerlukas/Camera-Roll-Android-App,18,7,38.89,Medium
keyboardsurfer/Crouton,5,3,60.0,Low
drpout/boilr,9,5,55.56,Low
Team980/ThunderScout-Android,19,0,0.0,Elite
Yubico/yubioath-android,9,0,0.0,Elite
rmake/cor-engine,7,0,0.0,Elite
SaschaWillems/VulkanCapsViewer,28,1,3.57,Elite
enricocid/iven-feed-reader,42,0,0.0,Elite
blinskey/greek-reference,22,0,0.0,Elite
systemallica/ValenBisi,28,0,0.0,Elite
Mygod/nju-portal-login-android,31,4,12.9,Elite
futurice/meeting-room-tablet,8,0,0.0,Elite
msimonides/homerplayer,34,0,0.0,Elite
RCasatta/EternityWallAndroid,4,1,25.0,High
asafge/NewsBlurPlus,6,2,33.33,Medium
CTC-CompTech/delivery,2,0,0.0,Elite
steve1rm/busbymovies,5,0,0.0,Elite
NerdCats/SwatKat,5,0,0.0,Elite
sheimi/SGit,4,3,75.0,Low
Neraud/PADListener,42,19,45.24,Low
ronaldsmartin/20twenty20,6,0,0.0,Elite
KlubJagiellonski/pola-android,14,4,28.57,High
75py/Aplin,27,4,14.81,Elite
athimel/mh-dla-notifier,3,0,0.0,Elite
qdeconinck/lln-campus,2,0,0.0,Elite
CherokeeLanguage/cll1-gdx,5,0,0.0,Elite
nkming2/power-menu,17,1,5.88,Elite
kort/kort-native,3,0,0.0,Elite
mtransitapps/ca-ottawa-oc-transpo-train-android,1,0,0.0,Elite
tobykurien/WebApps,42,6,14.29,Elite
djschilling/sopa,10,2,20.0,High
tzulberti/archery-training,6,4,66.67,Low
itkach/aard2-android,51,0,0.0,Elite
project-icarus/icarus-atc,1,0,0.0,Elite
pedrovgs/DraggablePanel,10,3,30.0,High
gina-alaska/gina-puffinfeeder-android-viewer,2,0,0.0,Elite
mtransitapps/ca-mississauga-miway-bus-android,1,0,0.0,Elite
Alfresco/activiti-android-app,5,0,0.0,Elite
mtransitapps/ca-montreal-stm-bus-android,1,0,0.0,Elite
jecelyin/920-text-editor-v2,9,0,0.0,Elite
hummatli/AppCrossPromoter,7,0,0.0,Elite
fridayideas/daytomato,6,5,83.33,Low
mtransitapps/ca-kelowna-regional-transit-system-bus-android,1,0,0.0,Elite
digital-voting-pass/polling-station-app,1,1,100.0,Low
alphadev-net/drive-mount,4,3,75.0,Low
rcgonzalezf/weather-app-demo,1,0,0.0,Elite
seizonsenryaku/HayaiLauncher,20,0,0.0,Elite
g-timetracker/g-timetracker,3,0,0.0,Elite
NCBSinfo/NCBSinfo,10,0,0.0,Elite
novoda/android-demos,2,0,0.0,Elite
Frozen-Developers/android-cache-cleaner,14,0,0.0,Elite
Kestutis-Z/World-Weather,13,0,0.0,Elite
coder3101/Matrix-Calculator-for-Android,2,1,50.0,Low
akvo/akvo-rsr-up,4,0,0.0,Elite
nispok/snackbar,37,14,37.84,Medium
mtransitapps/ca-laurentides-citla-bus-android,1,0,0.0,Elite
loehnertz/HSRMMedialabTimetableApp,1,1,100.0,Low
enra64/Votenote,5,2,40.0,Medium
wKovacs64/mTorch,3,0,0.0,Elite
mtransitapps/ca-winnipeg-transit-bus-android,1,0,0.0,Elite
tbpalsulich/NYU-BusTracker-Android,4,0,0.0,Elite
AKG-Vertretungsplan/AKG-Vertretungsplan-Android,31,0,0.0,Elite
davemorrissey/subsampling-scale-image-view,21,1,4.76,Elite
pdaddyo/soundbounce,4,4,100.0,Low
mtransitapps/ca-toronto-ttc-bus-android,1,0,0.0,Elite
bdiegel/android-giftwise,1,0,0.0,Elite
avram/zandy,8,0,0.0,Elite
plusCubed/velociraptor,32,14,43.75,Medium
mtransitapps/ca-quebec-rtc-bus-android,1,0,0.0,Elite
caarmen/FRCAndroidWidget,48,5,10.42,Elite
outlying/card-check,1,0,0.0,Elite
ianhanniballake/TripleSolitaire,10,0,0.0,Elite
midhunhk/trip-o-meter,3,2,66.67,Low
ellenpoe/TuxRacer-SDL2,1,0,0.0,Elite
willowcheng/Makerthings-android,1,0,0.0,Elite
iTXTech/Daedalus,21,1,4.76,Elite
abhijitparida/bunk,1,0,0.0,Elite
ManojMadanmohan/dlt,6,0,0.0,Elite
timeforcoffee/timeforcoffee-android,11,1,9.09,Elite
Bearded-Hen/Android-Bootstrap,5,1,20.0,High
gfx/Android-HankeiN,1,0,0.0,Elite
javiersantos/AppUpdater,27,6,22.22,High
WangDaYeeeeee/GeometricWeather,79,0,0.0,Elite
martinohanlon/BlueDot,5,0,0.0,Elite
dereksweet/ComedyCompanion,3,0,0.0,Elite
yeokm1/nus-soc-print,12,3,25.0,High
oSoc14/Artoria,4,3,75.0,Low
sawankh/MathAttack,1,0,0.0,Elite
mtransitapps/ca-toronto-ttc-light-rail-android,1,0,0.0,Elite
mtransitapps/ca-barrie-transit-bus-android,1,0,0.0,Elite
rocketshipapps/adblockfast,20,5,25.0,High
lpaulger/cribbage-the-game,5,5,100.0,Low
mtransitapps/ca-vancouver-translink-train-android,1,0,0.0,Elite
dkunzler/masterpassword,26,0,0.0,Elite
mtransitapps/ca-calgary-transit-bus-android,1,0,0.0,Elite
kmzbrnoI/hJOPandroidDriver,8,3,37.5,Medium
xiprox/WaniKani-for-Android,11,0,0.0,Elite
dbdkmezz/true-sight-dota,8,0,0.0,Elite
VisualizeMobile/AKANAndroid,1,0,0.0,Elite
gkalab/scidonthego,3,0,0.0,Elite
Pushwoosh/pushwoosh-android-sdk,150,0,0.0,Elite
dailymotion/dailymotion-player-sdk-android,2,0,0.0,Elite
PietsmietApp/pietsmiet_android,16,8,50.0,Low
donglua/PhotoPicker,13,1,7.69,Elite
SJ-StudyJams/Piece,3,0,0.0,Elite
mtransitapps/ca-montreal-amt-train-android,1,0,0.0,Elite
thermatk/meAtB,4,0,0.0,Elite
t-yoshi/peca-android,35,0,0.0,Elite
Sloy/SeviBus,18,1,5.56,Elite
mtransitapps/ca-york-region-yrt-viva-bus-android,1,0,0.0,Elite
daniel-stoneuk/material-about-library,32,3,9.38,Elite
RefugeRestrooms/refugerestrooms-android,10,0,0.0,Elite
JohnPersano/SuperToasts,5,1,20.0,High
Tyde/TuCanMobile,3,1,33.33,Medium
fython/PackageTracker,17,0,0.0,Elite
Nutomic/ensichat,16,2,12.5,Elite
sages-health/sagesmobile-mReceive,3,0,0.0,Elite
heinrichreimer/material-intro,10,9,90.0,Low
mtransitapps/ca-montreal-stm-subway-android,1,0,0.0,Elite
mudar/MontrealJustInCase,6,0,0.0,Elite
mtransitapps/ca-whistler-transit-system-bus-android,2,0,0.0,Elite
florent37/MaterialViewPager,11,6,54.55,Low
HugoGresse/Anecdote,18,3,16.67,High
mtransitapps/ca-nanaimo-rdn-transit-system-bus-android,1,0,0.0,Elite
SecUSo/privacy-friendly-pedometer,10,5,50.0,Low
mtransitapps/ca-kingston-transit-bus-android,1,0,0.0,Elite
i-p-tel/sipdroid,1,0,0.0,Elite
herolynx/elepantry-android,4,0,0.0,Elite
farmerbb/Notepad,12,0,0.0,Elite
lvonasek/Open4speed,2,0,0.0,Elite
prajjwaldimri/GithubXamarin,3,2,66.67,Low
javiersantos/MLManager,13,0,0.0,Elite
ziggy42/Blum,5,0,0.0,Elite
adleywd/WhatsNextSeries,7,0,0.0,Elite
