repository,T_total_hours,T_downtime_hours,availability,N_releases,N_bugs,N_total_builds,N_failed_builds,bug_error_rate,build_error_rate,N_failures,mtbf_hours,availability_percent,bug_error_rate_pct,build_error_rate_pct,availability_level,bug_error_rate_level,build_error_rate_level,mtbf_level
PietsmietApp/pietsmiet_android,6960.35,5722.82,17.7798,16,10,0,0,0.625,0.0,10,696.04,1777.9800000000002,0.00625,0.0,Elite,Medium,Elite,High
donglua/PhotoPicker,21700.62,1684.04,92.2396,13,5,0,0,0.384615,0.0,5,4340.12,9223.96,0.00384615,0.0,Elite,High,Elite,Elite
SJ-StudyJams/Piece,289.31,0.0,100.0,3,0,0,0,0.0,0.0,0,,10000.0,0.0,0.0,Elite,Elite,Elite,
thermatk/meAtB,12119.18,0.0,100.0,4,0,0,0,0.0,0.0,0,,10000.0,0.0,0.0,Elite,Elite,Elite,
t-yoshi/peca-android,29866.66,0.0,100.0,35,0,0,0,0.0,0.0,0,,10000.0,0.0,0.0,Elite,Elite,Elite,
Sloy/SeviBus,11059.44,0.0,100.0,18,2,0,0,0.111111,0.0,2,5529.72,10000.0,0.00111111,0.0,Elite,High,Elite,Elite
daniel-stoneuk/material-about-library,31152.07,1226.83,96.0618,32,5,0,0,0.15625,0.0,5,6230.41,9606.18,0.0015625,0.0,Elite,High,Elite,Elite
RefugeRestrooms/refugerestrooms-android,32142.77,1176.7,96.3391,10,1,0,0,0.1,0.0,1,32142.77,9633.91,0.001,0.0,Elite,High,Elite,Elite
JohnPersano/SuperToasts,22661.45,18615.8,17.8526,5,5,0,0,1.0,0.0,5,4532.29,1785.26,0.01,0.0,Elite,Low,Elite,Elite
Tyde/TuCanMobile,6680.99,6680.99,0.0,3,23,0,0,7.666667,0.0,23,290.48,0.0,0.07666667,0.0,Low,Low,Elite,High
fython/PackageTracker,22922.97,19482.92,15.007,17,8,0,0,0.470588,0.0,8,2865.37,1500.7,0.00470588,0.0,Elite,High,Elite,Elite
Nutomic/ensichat,14310.14,3615.26,74.7364,16,3,0,0,0.1875,0.0,3,4770.05,7473.64,0.001875,0.0,Elite,High,Elite,Elite
sages-health/sagesmobile-mReceive,3031.34,0.0,100.0,3,0,0,0,0.0,0.0,0,,10000.0,0.0,0.0,Elite,Elite,Elite,
heinrichreimer/material-intro,28698.07,28698.07,0.0,10,74,93,17,7.4,0.182796,91,315.36,0.0,0.07400000000000001,0.182796,Low,Low,Low,High
mudar/MontrealJustInCase,10580.38,0.0,100.0,6,0,0,0,0.0,0.0,0,,10000.0,0.0,0.0,Elite,Elite,Elite,
mtransitapps/ca-whistler-transit-system-bus-android,222.11,0.0,100.0,2,0,127,3,0.0,0.023622,3,74.04,10000.0,0.0,0.023622,Elite,Elite,Low,Medium
florent37/MaterialViewPager,9402.3,1867.06,80.1425,11,11,0,0,1.0,0.0,11,854.75,8014.25,0.01,0.0,Elite,Low,Elite,Elite
HugoGresse/Anecdote,31724.69,2210.42,93.0325,18,6,0,0,0.333333,0.0,6,5287.45,9303.25,0.00333333,0.0,Elite,High,Elite,Elite
SecUSo/privacy-friendly-pedometer,51154.58,51154.58,0.0,10,20,467,45,2.0,0.09636,65,786.99,0.0,0.02,0.09636,Low,Low,Low,Elite
herolynx/elepantry-android,3124.28,0.0,100.0,4,0,0,0,0.0,0.0,0,,10000.0,0.0,0.0,Elite,Elite,Elite,
farmerbb/Notepad,40147.36,0.0,100.0,12,0,0,0,0.0,0.0,0,,10000.0,0.0,0.0,Elite,Elite,Elite,
lvonasek/Open4speed,6814.62,0.0,100.0,2,0,0,0,0.0,0.0,0,,10000.0,0.0,0.0,Elite,Elite,Elite,
prajjwaldimri/GithubXamarin,795.37,795.37,0.0,3,17,0,0,5.666667,0.0,17,46.79,0.0,0.05666667,0.0,Low,Low,Elite,Medium
javiersantos/MLManager,7383.05,0.0,100.0,13,0,0,0,0.0,0.0,0,,10000.0,0.0,0.0,Elite,Elite,Elite,
ziggy42/Blum,1680.83,0.0,100.0,5,0,0,0,0.0,0.0,0,,10000.0,0.0,0.0,Elite,Elite,Elite,
adleywd/WhatsNextSeries,3070.32,0.0,100.0,7,0,0,0,0.0,0.0,0,,10000.0,0.0,0.0,Elite,Elite,Elite,
