repository,total_releases,failed_releases,change_failure_rate_percent
souliss/soulissapp,4,0,0.0
Ifsttar/NoiseCapture,46,11,23.91
nbossard/packlist,17,10,58.82
tasomaniac/OpenLinkWith,16,0,0.0
drymarev/rxbsuir,8,1,12.5
vilnius/tvarkau-vilniu,8,0,0.0
42cc/p2psafety,17,5,29.41
seemoo-lab/nexmon,1,0,0.0
dbahat/conventions,41,0,0.0
STOP2/stop2.0-traveller-client,7,1,14.29
FraunhoferCESE/madcap,6,4,66.67
xbmc/Kore,24,0,0.0
felixb/smsdroid,4,0,0.0
rectangle-dbmi/Realtime-Port-Authority,26,8,30.77
PanicInitiative/PanicButton,15,7,46.67
MGaetan89/ShowsRage,29,7,24.14
pyamsoft/home-button,8,0,0.0
lecho/hellocharts-android,13,8,61.54
zfdang/zSMTH-Android,110,0,0.0
tgwizard/sls,35,25,71.43
translation-cards/translation-cards,10,8,80.0
Frozen-Developers/android-periodic-table,3,0,0.0
FAU-Inf2/fablab-android,4,0,0.0
qqq3/good-weather,9,0,0.0
OpenOverlayRouter/oor,8,0,0.0
SimpleMobileTools/Simple-Draw,72,1,1.39
team-mount-ventoux/JayPS-AndroidApp,2,0,0.0
PhenoApps/Field-Book,24,5,20.83
jmalenko/alarm-morning,12,0,0.0
martindisch/Kantidroid,27,0,0.0
enotio/Tempest,3,0,0.0
macGRID-SRN/hitchBOT,4,0,0.0
warmshowers/wsandroid,21,1,4.76
clementine-player/Android-Remote,10,1,10.0
jdm64/GenesisChess-Android,4,0,0.0
SimpleMobileTools/Simple-Calculator,54,8,14.81
yshrsmz/monotweety,11,0,0.0
Adventech/sabbath-school-android,19,1,5.26
cymcsg/UltimateRecyclerView,9,4,44.44
ixkor/CallerInfo,66,0,0.0
SecUSo/nophish,1,0,0.0
cauchymop/goblob,8,0,0.0
mtransitapps/ca-grand-river-transit-bus-android,1,0,0.0
CzBiX/v2ex-android,4,0,0.0
syedtalha/orion,29,0,0.0
zamojski/TowerCollector,70,6,8.57
chummydevteam/ProjektDashboard,1,0,0.0
blocktrail/blocktrail-wallet,1,0,0.0
BandUp/band-up-android,6,2,33.33
FrancisG-Massey/Capstone2016,3,1,33.33
LADOSSIFPB/nutrif,7,0,0.0
pvarry/intra42,9,0,0.0
sismics/reader,5,3,60.0
Polidea/react-native-ble-plx,15,4,26.67
abrensch/brouter,1,0,0.0
ianhanniballake/ContractionTimer,8,0,0.0
MartinStyk/AndroidApkAnalyzer,22,1,4.55
mpv-android/mpv-android,35,15,42.86
caseydavenport/biermacht,19,0,0.0
mvarnagiris/expensius,15,2,13.33
Kegbot/kegbot-android,16,2,12.5
schnatterer/nusic,23,0,0.0
CoolMicApp/CoolMicApp-Android,2,0,0.0
berict/Tapad,20,18,90.0
NileGroup/Meikade,6,0,0.0
SecUSo/privacy-friendly-weather,14,4,28.57
placelessplace/Weather,13,0,0.0
matejdro/PebbleNotificationCenter-Android,6,0,0.0
malmstein/yahnac,5,1,20.0
benoitletondor/EasyBudget,24,0,0.0
plusonelabs/calendar-widget,12,3,25.0
AChep/HeadsUp,7,0,0.0
rei-m/HBFav_material,9,0,0.0
gatheringhallstudios/MHGenDatabase,12,0,0.0
kamegami13/MonsterHunter4UDatabase,9,0,0.0
smallpath/psnine,28,2,7.14
guardianproject/ObscuraCam,6,0,0.0
phish108/MoblerCards,1,1,100.0
mathisdt/trackworktime,28,3,10.71
username115/FRCScouting,33,0,0.0
janoliver/pOT-Droid,19,0,0.0
MyGrades/mygrades-app,6,0,0.0
rapidpro/ureport-android,6,0,0.0
